#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-0002    0.4938928     16.422      0.332      0.124     15.676      0.296      0.102     -0.054     -0.012     -0.067     -0.116
OGLE-LMC-CEP-0005    0.7491222     15.448      0.455      0.164     14.674      0.431      0.167      0.186      0.065     -0.187     -0.033
OGLE-LMC-CEP-0012    0.4249124     16.123      0.484      0.310     15.488      0.522      0.312     -0.028     -0.197      0.085      0.190
OGLE-LMC-CEP-0016    1.0214563     14.787      0.461      0.116     13.708      0.023      0.095     -0.381     -0.071      0.145     -0.081
OGLE-LMC-CEP-0017    0.5655239     15.942      0.458      0.511     15.361      0.488      0.286      0.063     -0.081     -0.045      0.122
OGLE-LMC-CEP-0018    0.6072247     16.059      0.296      0.051     15.226      0.283      0.085     -0.125      0.028      0.128     -0.076
OGLE-LMC-CEP-0021    0.7370315     15.513      0.397      0.157     14.731      0.414      0.150      0.200      0.129     -0.156     -0.052
OGLE-LMC-CEP-0023    0.2309150     17.063      0.445      0.281     16.332      0.440      0.261     -0.051     -0.090      0.066      0.068
OGLE-LMC-CEP-0025    0.5721161     16.176      0.405      0.166     15.349      0.411      0.175     -0.045     -0.036     -0.060     -0.034
OGLE-LMC-CEP-0026    0.4100474     16.130      0.449      0.210     15.484      0.443      0.228     -0.043     -0.115      0.146      0.117
OGLE-LMC-CEP-0027    0.5469061     15.687      0.449      0.247     15.059      0.450      0.254      0.020     -0.084      0.061      0.115
OGLE-LMC-CEP-0028    0.1013877     17.312      0.426      0.208     16.631      0.473      0.281     -0.186     -0.229      0.279      0.270
OGLE-LMC-CEP-0033    0.8561714     15.264      0.351      0.216     14.411      0.340      0.214      0.307      0.144     -0.289     -0.094
OGLE-LMC-CEP-0034    1.0513311     14.658      0.149      0.114     13.748      0.169      0.107     -0.534      0.099      0.531     -0.141
OGLE-LMC-CEP-0035    0.8415903     15.177      0.380      0.128     14.381      0.359      0.140      0.355      0.240     -0.250     -0.069
OGLE-LMC-CEP-0037    0.4867003     16.318      0.353      0.117     15.528      0.345      0.135     -0.154     -0.043      0.002     -0.074
OGLE-LMC-CEP-0039    0.4979984     16.083      0.404      0.186     15.419      0.415      0.184      0.000     -0.041      0.279      0.258
OGLE-LMC-CEP-0040    0.7130826     15.450      0.428      0.214     14.677      0.436      0.204      0.122     -0.002     -0.093      0.023
OGLE-LMC-CEP-0041    0.4639918     16.275      0.224      0.040     15.524      0.241      0.038     -0.159      0.047      0.153     -0.090
OGLE-LMC-CEP-0042    0.4111193     16.417      0.527      0.237     15.689      0.484      0.270     -0.018     -0.133      0.096      0.162
OGLE-LMC-CEP-0044    0.6059233     15.636      0.442      0.266     14.951      0.441      0.224      0.054     -0.068      0.007      0.083
OGLE-LMC-CEP-0045    0.2711272     16.895      0.455      0.212     16.174      0.477      0.291     -0.039     -0.106      0.102      0.144
OGLE-LMC-CEP-0046    0.9466266     14.766      0.234      0.200     13.963      0.233      0.183      0.273      0.164     -0.270     -0.141
OGLE-LMC-CEP-0048    0.7441767     15.186      0.414      0.188     14.466      0.417      0.174      0.064     -0.015      0.005      0.027
OGLE-LMC-CEP-0049    0.5853637     16.209      0.242      0.062     15.331      0.237      0.060     -0.071      0.104      0.089     -0.153
OGLE-LMC-CEP-0050    0.8946267     15.045      0.375      0.161     14.191      0.362      0.183      0.205      0.097     -0.197     -0.056
OGLE-LMC-CEP-0053    0.4205958     16.531      0.423      0.254     15.727      0.493      0.374      0.064     -0.130      0.145      0.210
OGLE-LMC-CEP-0055    0.4566740     16.126      0.466      0.280     15.445      0.476      0.274     -0.037     -0.147      0.047      0.146
OGLE-LMC-CEP-0056    0.5643166     16.240      0.416      0.238     15.392      0.426      0.206      0.016     -0.037     -0.052      0.015
OGLE-LMC-CEP-0057    1.0131506     14.810      0.220      0.113     13.890      0.230      0.099     -0.470      0.382      0.483     -0.262
OGLE-LMC-CEP-0058    0.6350394     15.756      0.449      0.220     14.998      0.454      0.231      0.135     -0.016     -0.100      0.037
OGLE-LMC-CEP-0059    0.6425034     15.843      0.431      0.192     15.021      0.432      0.205      0.239      0.121     -0.139     -0.024
OGLE-LMC-CEP-0060    0.5323095     16.223      0.420      0.249     15.404      0.476      0.243     -0.023     -0.103     -0.057      0.046
OGLE-LMC-CEP-0064    0.5090949     16.024      0.428      0.231     15.282      0.443      0.242     -0.026     -0.127      0.043      0.097
OGLE-LMC-CEP-0067    0.5422565     16.148      0.432      0.226     15.339      0.415      0.217      0.007     -0.070     -0.029      0.035
OGLE-LMC-CEP-0070    1.1381724     14.792      0.136      0.142     13.760      0.101      0.149     -0.187      0.102      0.085     -0.222
OGLE-LMC-CEP-0072    0.3685708     16.284      0.202      0.108     15.601      0.215      0.065     -0.391      0.031      0.435     -0.026
OGLE-LMC-CEP-0075    0.5338699     16.171      0.456      0.277     15.366      0.450      0.259      0.002     -0.105      0.006      0.098
OGLE-LMC-CEP-0076    0.7116270     15.918      0.221      0.113     15.050      0.258      0.024     -0.194      0.072      0.000     -0.207
OGLE-LMC-CEP-0078    0.8682104     15.189      0.387      0.209     14.352      0.362      0.180      0.261      0.128     -0.256     -0.093
OGLE-LMC-CEP-0079    1.3530180     14.168      0.314      0.192     13.139      0.311      0.188      0.254     -0.033     -0.406     -0.026
OGLE-LMC-CEP-0087    0.5551229     16.022      0.486      0.292     15.193      0.479      0.292     -0.054     -0.132      0.024      0.126
OGLE-LMC-CEP-0089    0.6715355     16.022      0.244      0.110     15.229      0.322      0.091      0.068      0.105     -0.144     -0.113
OGLE-LMC-CEP-0090    0.6021092     15.884      0.501      0.156     15.129      0.437      0.219     -0.056     -0.001     -0.054      0.036
OGLE-LMC-CEP-0091    0.5561778     16.195      0.426      0.212     15.326      0.431      0.218      0.080      0.002     -0.048      0.028
OGLE-LMC-CEP-0094    0.5068850     17.042      0.413      0.182     15.999      0.378      0.166     -0.090     -0.062     -0.012     -0.043
OGLE-LMC-CEP-0095    0.4432569     16.175      0.413      0.229     15.491      0.469      0.251     -0.095     -0.214      0.084      0.143
OGLE-LMC-CEP-0100    0.5064253     16.227      0.469      0.205     15.485      0.418      0.221      0.030     -0.072      0.025      0.089
OGLE-LMC-CEP-0101    0.9133553     15.773      0.119      0.030     14.671      0.061      0.055     -0.376      0.193      0.036     -0.254
OGLE-LMC-CEP-0103    0.8547543     14.696      0.290      0.093     14.015      0.291      0.090      0.053      0.100     -0.002     -0.138
OGLE-LMC-CEP-0104    0.4926958     16.232      0.426      0.223     15.457      0.429      0.226     -0.019     -0.080      0.006      0.065
OGLE-LMC-CEP-0105    0.6758482     15.760      0.426      0.129     14.953      0.427      0.162      0.112      0.057     -0.142     -0.075
OGLE-LMC-CEP-0106    0.5142177     16.267      0.469      0.255     15.460      0.449      0.243     -0.037     -0.098     -0.003      0.095
OGLE-LMC-CEP-0107    0.9414548     14.789      0.294      0.205     13.954      0.290      0.217      0.291      0.133     -0.193     -0.043
OGLE-LMC-CEP-0108    0.5737539     15.960      0.358      0.135     15.279      0.352      0.134      0.010      0.035     -0.023     -0.049
OGLE-LMC-CEP-0109    0.4553640     16.689      0.521      0.304     15.809      0.511      0.301     -0.072     -0.172      0.017      0.134
OGLE-LMC-CEP-0111    0.2075984     17.011      0.554      0.478     16.272      0.489      0.302     -0.187     -0.251      0.188      0.207
OGLE-LMC-CEP-0114    1.0158553     14.607      0.144      0.081     13.793      0.166      0.084     -0.490      0.218      0.536     -0.242
OGLE-LMC-CEP-0116    0.5333976     16.135      0.471      0.254     15.375      0.468      0.261      0.059     -0.056     -0.018      0.089
OGLE-LMC-CEP-0122    0.1115978     17.316      0.417      0.324     16.638      0.450      0.262     -0.220     -0.236      0.211      0.193
OGLE-LMC-CEP-0123    0.8381250     15.977      0.385      0.209     14.920      0.352      0.203      0.234      0.003     -0.274     -0.086
OGLE-LMC-CEP-0126    0.8864418     15.260      0.192      0.023     14.378      0.239      0.022      0.145      0.281     -0.104     -0.272
OGLE-LMC-CEP-0128    0.5849787     16.054      0.449      0.225     15.232      0.430      0.217      0.076      0.006     -0.041      0.057
OGLE-LMC-CEP-0130    0.5330173     17.920      0.463      0.273     16.542      0.445      0.231      0.005     -0.026     -0.073      0.022
OGLE-LMC-CEP-0131    0.4578064     16.482      0.430      0.217     15.644      0.433      0.211     -0.028     -0.115     -0.010      0.048
OGLE-LMC-CEP-0132    0.4858706     16.624      0.456      0.195     15.716      0.405      0.201      0.087      0.053      0.035      0.034
OGLE-LMC-CEP-0138    0.3757413     16.775      0.461      0.220     15.942      0.458      0.231     -0.034     -0.060      0.061      0.093
OGLE-LMC-CEP-0139    0.9900621     15.078      0.097      0.130     14.153      0.094      0.138     -0.206      0.153      0.260     -0.122
OGLE-LMC-CEP-0140    0.3838613     16.434      0.472      0.238     15.719      0.470      0.245     -0.051     -0.090      0.038      0.098
OGLE-LMC-CEP-0142    0.5765707     16.160      0.396      0.180     15.331      0.407      0.182      0.014      0.007     -0.048     -0.016
OGLE-LMC-CEP-0149    0.4884416     16.538      0.422      0.195     15.664      0.415      0.195      0.022     -0.021      0.010      0.030
OGLE-LMC-CEP-0151    0.9714690     15.155      0.183      0.057     14.176      0.205      0.041     -0.531      0.374      0.506     -0.305
OGLE-LMC-CEP-0152    0.5674814     16.049      0.314      0.136     15.083      0.318      0.106     -0.031      0.046      0.037     -0.039
OGLE-LMC-CEP-0154    0.6195786     16.031      0.443      0.200     15.200      0.432      0.196      0.123      0.043     -0.127     -0.002
OGLE-LMC-CEP-0155    0.9934651     14.629      0.194      0.121     13.821      0.201      0.110      0.172      0.206     -0.139     -0.232
OGLE-LMC-CEP-0158    0.8591224     15.523      0.409      0.202     14.557      0.387      0.205      0.244      0.086     -0.156     -0.007
OGLE-LMC-CEP-0159    0.7375061     15.532      0.394      0.169     14.734      0.395      0.159      0.106      0.072     -0.131     -0.064
OGLE-LMC-CEP-0160    0.5053244     15.793      0.503      0.309     14.770      0.485      0.291     -0.016     -0.107      0.094      0.175
OGLE-LMC-CEP-0161    0.3252990     16.384      0.593      0.378     15.725      0.495      0.301     -0.137     -0.181      0.145      0.180
OGLE-LMC-CEP-0162    0.7010859     15.503      0.327      0.111     14.738      0.348      0.117      0.020      0.042      0.043     -0.064
OGLE-LMC-CEP-0163    0.5367261     15.770      0.540      0.334     15.112      0.462      0.254      0.032     -0.064     -0.010      0.114
OGLE-LMC-CEP-0164    0.4441722     16.545      0.423      0.222     15.722      0.440      0.217     -0.055     -0.123      0.006      0.076
